mineral.name,para.mode.label,para.mode.category
Ansermetite,5,5
Aradite,3,3
Ardennite-(V),"16,53",1
Averievite,22,2
Balestraite,3,3
Bannermanite,22,2
Bariosincosite,56,5
Bassoite,3,3
Batisivite,3,3
Bavsiite,31,3
Blossite,22,2
Burnettite,93,9
Byrudite,16,1
Cassagnaite,33,3
Cavansite,"21,52,57",2
Cavoite,52,5
Chernykhite,54,5
Colimaite,22,2
Colusite,51,5
Cortesognoite,33,3
Coulsonite,41,4
Crichtonite,5,5
Davidite-(Ce),"15,16",1
Davidite-(La),"14,15,16,17,18",1
Dessauite-(Y),52,5
Engelhauptite,18,1
Evdokimovite,22,2
Fianelite,5,5
Fingerite,22,2
Germanocolusite,51,5
Goldmanite,"31,61",3
Gottlobite,54,5
Greenwoodite,33,3
Grigorievite,22,2
Hanjiangite,54,5
Haradaite,3,3
Hechtsbergite,58,5
Hemloite,56,5
Howardevansite,22,2
Kainotropite,22,2
Karelianite,"33,84",3
Karpovite,22,2
Khamrabaevite,"12,39",1
Koksharovite,22,2
Kombatite,37,3
Kyzylkumite,5,5
Leningradite,22,2
Lyonsite,22,2
Magnesiocoulsonite,3,3
Mannardite,"11,52",1
Margaritasite,"21,5",2
Mcbirneyite,22,2
Momoiite,3,3
Montroseite,"72,84",7
Mukhinite,33,3
Nabiasite,5,5
Nagashimalite,37,3
Natalyite,33,3
Nekrasovite,"15,51",1
Nolanite,"51,56",5
Oxy-vanadium-dravite,3,3
Oxyvanite,3,3
Pauflerite,22,2
Poppiite,33,3
Pseudolyonsite,22,2
Pyrobelonite,37,3
Reppiaite,"37,5",3
Saneroite,"37,5,72",3
Schäferite,3,3
Scheuchzerite,3,3
Schoderite,"62,68",6
Schreyerite,"33,41",3
Senaite,"14,15,16,5,61",1
Shcherbinaite,22,2
Springcreekite,5,5
Starovaite,22,2
Stibiocolusite,51,5
Stoiberite,22,2
Sulvanite,51,5
Suzukiite,37,3
Tivanite,56,5
Tokyoite,3,3
Tomichite,56,5
Turtmannite,3,3
Vanadio-oxy-chromium-dravite,39,3
Vanadio-oxy-dravite,39,3
Vanadium,22,2
Vanadoallanite-(La),3,3
Vanadoandrosite-(Ce),3,3
Vanadomalayaite,3,3
Vuorelainenite,"33,37",3
Wakefieldite-(Ce),"15,16,57",1
Wakefieldite-(La),"15,16,57",1
Wakefieldite-(Nd),"15,16,57",1
Wakefieldite-(Y),"15,16,57",1
Watatsumiite,3,3
Yaroshevskite,22,2
Yushkinite,"52,53",5
Ziesite,22,2
Zoltaiite,3,3
Alvanite,72,7
Ankinovichite,72,7
Anorthominasragrite,72,7
Argandite,72,7
Bariandite,72,7
Barnesite,72,7
Beckettite,93,9
Berdesinskiite,72,7
Bluestreakite,72,7
Bobjonesite,72,7
Bokite,"72,84",7
Brackebuschite,72,7
Bushmakinite,72,7
Calciodelrioite,72,7
Calderónite,72,7
Carnotite,"72,83,87",7
Cassedanneite,72,7
Čechite,"72,89",7
Cheremnykhite,72,7
Chervetite,72,7
Clinobisvanite,72,7
Cloncurryite,72,7
Corvusite,72,7
Curienite,72,7
Delrioite,"72,76",7
Descloizite,72,7
Dickthomssenite,72,7
Doloresite,72,7
Dreyerite,86,8
Duttonite,72,7
Fernandinite,"72,84",7
Ferribushmakinite,72,7
Fervanite,72,7
Francevillite,72,7
Franciscanite,72,7
Fritzscheite,65,6
Gamagarite,72,7
Gatewayite,72,7
Grantsite,"72,84",7
Gunterite,72,7
Gurimite,72,7
Häggite,72,7
Hendersonite,72,7
Hereroite,72,7
Hewettite,72,7
Heyite,72,7
Huemulite,"72,89",7
Hughesite,72,7
Hummerite,"72,76",7
Karpenkoite,72,7
Kazakhstanite,72,7
Kokinosite,72,7
Kolovratite,"33,72",3
Krettnichite,72,7
Kurumsakite,72,7
Lasalite,72,7
Lenoblite,"72,78",7
Magnesiopascoite,72,7
Martyite,72,7
Mathesiusite,72,7
Medaite,72,7
Melanovanadite,"72,84",7
Mesaite,72,7
Metadelrioite,"72,76",7
Metahewettite,72,7
Metamunirite,75,7
Metarossite,75,7
Metatyuyamunite,"72,75",7
Metavanuralite,72,7
Minasragrite,"72,86",7
Morrisonite,72,7
Mottramite,72,7
Mounanaite,72,7
Munirite,72,7
Namibite,"15,16,72",1
Nashite,72,7
Navajoite,72,7
Nevadaite,72,7
Orthominasragrite,"72,86",7
Packratite,72,7
Palenzonaite,"37,82",3
Paramontroseite,"72,75",7
Pascoite,"73,89",7
Paseroite,86,8
Patrónite,84,8
Pentagonite,"21,72",2
Phosphovanadylite-Ba,"68,87",6
Phosphovanadylite-Ca,68.87,6
Pintadoite,"72,76",7
Postite,72,7
Pottsite,72,7
Pucherite,"15,16,72",1
Rakovanite,72,7
Rankachite,72,7
Rauvite,72,7
Ronneburgite,72,7
Roscoelite,72,7
Rossite,72,7
Rusakovite,72,7
Santafeite,72,7
Satpaevite,72,7
Schindlerite,"72,85",7
Schubnelite,72,7
Schumacherite,72,7
Sengierite,72,7
Sherwoodite,"72,86",7
Simplotite,"72,86",7
Sincosite,86,8
Stanleyite,72,7
Steigerite,72,7
Stibivanite,"39,51,65,72",3
Straczekite,72,7
Strelkinite,72,7
Tangeite,72,7
Tillmannsite,72,7
Turanite,72,7
Tyuyamunite,72,7
Uvanite,72,7
Vanadinite,72,7
Vanadiocarpholite,86,8
Vanalite,7,7
Vanarsite,72,7
Vanoxite,"72,86",7
Vanuralite,72,7
Vésigniéite,72,7
Volborthite,72,7
Wernerbaurite,72,7
Ziminaite,72,7
